name,city,realt_price,realt_apr,rmm,supply,volume_month,volume_total,name_new
12318 Imperial,Cleveland,49.50 $,10.03%,No,113850.00 $,1237.50 $,7337.92 $,12318-imperial
8809 Beckman,Cleveland,51.74 $,10.04%,No,113828.00 $,833.01 $,7235.48 $,8809-beckman
10610 Balfour,Detroit,49.81 $,10.04%,No,59772.00 $,657.49 $,3774.27 $,10610-balfour
15611 E Seven Mile,Detroit,48.94 $,10.03%,No,63622.00 $,856.45 $,4108.33 $,15611-e-seven-mile
18608-18612 Moross,Detroit,49.56 $,11.77%,No,99120.00 $,803.53 $,10066.94 $,18608-18612-moross
18527-18529 Kelly,Detroit,48.48 $,10.03%,No,92112.00 $,736.90 $,8394.09 $,18527-18529-kelly
18515-18517 Kelly,Detroit,49.10 $,11.22%,No,93290.00 $,491.00 $,8347.00 $,18515-18517-kelly
19400 Hickory,Detroit,50.62 $,10.01%,No,60744.00 $,921.28 $,5693.23 $,19400-hickory
13628 Tacoma,Detroit,50.61 $,11.26%,Yes,60732.00 $,46.26 $,7027.15 $,13628-tacoma
13445 Tacoma,Detroit,52.50 $,10.00%,Yes,68250.00 $,472.50 $,7159.58 $,13445-tacoma
13430 Tacoma,Detroit,50.64 $,10.12%,Yes,60768.00 $,405.28 $,5456.55 $,13430-tacoma
9201 Longacre,Detroit,52.02 $,0.00%,No,67626.00 $,673.66 $,8700.56 $,9201-longacre
19539 Hickory,Detroit,50.64 $,10.08%,No,60768.00 $,369.67 $,4736.15 $,19539-hickory
19530 Hickory,Detroit,50.62 $,10.04%,No,60744.00 $,987.09 $,6223.78 $,19530-hickory
14511 Houston-Whittier,Detroit,50.30 $,8.00%,No,643840.00 $,3382.30 $,108111.62 $,14511-houston-whittier
16810 Bringard,Detroit,50.19 $,0.00%,No,60228.00 $,1505.70 $,8177.57 $,16810-bringard
5760 Lakepointe,Detroit,50.11 $,0.00%,Yes,60132.00 $,55.12 $,7126.28 $,5760-lakepointe
15894 Tacoma,Detroit,50.96 $,10.04%,No,66248.00 $,1424.33 $,7702.55 $,15894-tacoma
10099 Greensboro,Detroit,50.10 $,10.02%,No,65130.00 $,551.10 $,9030.34 $,10099-greensboro
8003 S Ingleside,Chicago,50.64 $,8.41%,Yes,1012800.00 $,7160.86 $,61131.54 $,8003-s-ingleside
14622 Hubbell,Detroit,49.26 $,11.18%,No,78816.00 $,1373.91 $,6903.92 $,14622-hubbell
15240 Edmore,Detroit,49.98 $,10.23%,No,64974.00 $,431.58 $,7741.93 $,15240-edmore
8056 E Hollywood,Detroit,50.85 $,10.14%,No,76275.00 $,178.48 $,7033.77 $,8056-e-hollywood
19535 Fairport,Detroit,55.05 $,9.75%,No,66060.00 $,681.34 $,6213.81 $,19535-fairport
14329 Strathmoor,Detroit,49.44 $,11.91%,No,98880.00 $,99.37 $,7668.59 $,14329-strathmoor
D 1418 W Marquette,Chicago,50.36 $,7.26%,No,0.00 $,0.00 $,0.00 $,1418-w-marquette
S 1418 W Marquette,Chicago,50.36 $,7.96%,No,1264036.00 $,7261.34 $,88026.38 $,1418-w-marquette
S 14439 Longview,Detroit,53.15 $,10.59%,No,69095.00 $,292.32 $,12493.78 $,14439-longview
D 14439 Longview,Detroit,49.14 $,11.46%,No,0.00 $,0.00 $,0.00 $,14439-longview
S 9585 Abington,Detroit,49.74 $,11.36%,No,64662.00 $,124.35 $,10185.76 $,9585-abington
D 9585 Abington,Detroit,49.74 $,11.36%,No,0.00 $,0.00 $,0.00 $,9585-abington
S 14117 Manning,Detroit,50.26 $,10.47%,No,65338.00 $,1055.46 $,6116.84 $,14117-manning
D 14117 Manning,Detroit,50.26 $,10.47%,No,0.00 $,0.00 $,0.00 $,14117-manning
D 11310 Abington,Detroit,47.17 $,10.38%,No,0.00 $,0.00 $,0.00 $,11310-abington
S 11310 Abington,Detroit,52.77 $,9.28%,No,68601.00 $,346.96 $,4338.27 $,11310-abington
D 9624 Abington,Detroit,49.78 $,10.38%,No,0.00 $,0.00 $,0.00 $,9624-abington
S 9624 Abington,Detroit,49.78 $,10.38%,No,64714.00 $,1008.81 $,5649.75 $,9624-abington
S 11217 Beaconsfield,Detroit,48.01 $,10.03%,No,62413.00 $,1603.93 $,4784.88 $,11217-beaconsfield
D 22233 Lyndon,Detroit,50.20 $,10.73%,No,0.00 $,0.00 $,0.00 $,22233-lyndon
S 22233 Lyndon,Detroit,50.20 $,10.73%,No,65260.00 $,2482.39 $,11379.75 $,22233-lyndon
D 11117 Worden,Detroit,50.44 $,9.88%,No,0.00 $,0.00 $,0.00 $,11117-worden
D 11217 Beaconsfield,Detroit,48.01 $,10.03%,No,0.00 $,0.00 $,0.00 $,11217-beaconsfield
S 11117 Worden,Detroit,50.44 $,9.88%,No,65572.00 $,353.08 $,5493.27 $,11117-worden
D 10703 McKinney,Detroit,49.79 $,11.35%,No,0.00 $,0.00 $,0.00 $,10703-mckinney
S 10703 McKinney,Detroit,49.79 $,11.35%,No,64727.00 $,179.14 $,5933.70 $,10703-mckinney
D 17204 Bradford,Detroit,51.43 $,11.06%,No,0.00 $,0.00 $,0.00 $,17204-bradford
S 17204 Bradford,Detroit,51.43 $,11.06%,No,66859.00 $,244.29 $,8549.44 $,17204-bradford
S 19391 Grandview,Detroit,52.96 $,9.76%,No,68848.00 $,486.69 $,8152.11 $,19391-grandview
D 9200 Harvard,Detroit,49.74 $,10.08%,No,0.00 $,0.00 $,0.00 $,9200-harvard
S 9200 Harvard,Detroit,53.41 $,9.38%,No,69433.00 $,1412.69 $,7336.19 $,9200-harvard
618 E 79th,Chicago,50.83 $,8.50%,Yes,1143675.00 $,1868.89 $,41418.09 $,618-e-79th
D 10645 Stratman,Detroit,55.48 $,10.56%,No,0.00 $,0.00 $,0.00 $,10645-stratman
S 10645 Stratman,Detroit,55.48 $,10.56%,No,66576.00 $,1414.74 $,5634.00 $,10645-stratman
D 11965 Lakepointe,Detroit,54.25 $,9.60%,No,0.00 $,0.00 $,0.00 $,11965-lakepointe
S 11965 Lakepointe,Detroit,54.25 $,9.60%,No,70525.00 $,799.28 $,4910.89 $,11965-lakepointe
D 3510 Ewald,Detroit,50.09 $,10.51%,No,0.00 $,0.00 $,0.00 $,3510-ewald
S 3510 Ewald,Detroit,50.09 $,10.51%,Yes,936683.00 $,5790.33 $,48310.99 $,3510-ewald
D 10163 Duprey,Detroit,53.63 $,9.81%,No,0.00 $,0.00 $,0.00 $,10163-duprey
S 10163 Duprey,Detroit,53.63 $,9.81%,No,64356.00 $,809.81 $,5888.20 $,10163-duprey
D 616 E 131st,Cleveland,50.37 $,11.81%,No,0.00 $,0.00 $,0.00 $,616-e-131st
S 616 E 131st,Cleveland,50.37 $,11.81%,No,113332.50 $,642.57 $,17166.94 $,616-e-131st
11898 Laing,Detroit,51.82 $,9.30%,No,69957.00 $,793.72 $,6433.11 $,11898-laing
20257 Monica,Detroit,49.84 $,9.18%,No,67284.00 $,244.89 $,4231.72 $,20257-monica
16520 Ilene,Detroit,53.13 $,10.57%,No,70397.25 $,690.69 $,4744.66 $,16520-ilene
D 10147 Somerset,Detroit,52.58 $,10.06%,No,0.00 $,0.00 $,0.00 $,10147-somerset
S 10147 Somerset,Detroit,52.58 $,10.06%,No,70983.00 $,1097.61 $,7593.01 $,10147-somerset
14409 Linnhurst,Detroit,50.16 $,8.04%,No,1153680.00 $,3539.71 $,80114.84 $,14409-linnhurst
