name,city,realt_price,realt_apr,rmm,supply,volume_month,volume_total
402 S Kostner,Chicago,51.93 $,8.24%,No,571230.00 $,51.93 $,53352.45 $
14918 Joy,Detroit,49.44 $,12.01%,Yes,692160.00 $,4.94 $,50205.46 $
10700 Whittier,Detroit,51.29 $,12.33%,No,718060.00 $,1192.43 $,54435.88 $
17500 Evergreen,Detroit,57.08 $,10.60%,Yes,68496.00 $,733.14 $,10071.78 $
15753 Hartwell,Detroit,55.76 $,13.35%,No,94792.00 $,1298.34 $,20699.66 $
11653 Nottingham,Detroit,58.02 $,10.50%,No,69624.00 $,638.13 $,9704.13 $
19200 Strasburg,Detroit,56.13 $,10.14%,No,67356.00 $,336.78 $,5383.94 $
18983 Alcoy,Detroit,54.82 $,0.00%,No,65784.00 $,0.00 $,0.00 $
14494 Chelsea,Detroit,53.16 $,10.33%,No,63792.00 $,0.00 $,11875.32 $
13045 Wade,Detroit,56.00 $,11.54%,No,67200.00 $,65.69 $,13875.90 $
10639 Stratman,Detroit,58.00 $,10.15%,No,69600.00 $,5.89 $,3729.00 $
9920 Bishop,Detroit,57.17 $,11.83%,No,68604.00 $,114.34 $,5682.13 $
10629 McKinney,Detroit,54.10 $,10.90%,No,64920.00 $,113.61 $,5223.14 $
11300 Roxbury,Detroit,59.07 $,11.89%,No,76791.00 $,29.54 $,11397.91 $
9481 Wayburn,Detroit,57.53 $,11.04%,No,69036.00 $,110.86 $,10002.76 $
5601 S Wood,Chicago,54.08 $,10.63%,No,297440.00 $,586.78 $,30604.06 $
14229 Wilshire,Detroit,54.68 $,10.88%,No,65616.00 $,2.73 $,9542.28 $
18776 Sunderland,Detroit,52.88 $,10.65%,No,63456.00 $,2.64 $,11621.23 $
17809 Charest,Detroit,56.00 $,11.34%,Yes,67200.00 $,5.60 $,5533.22 $
14882 Troester,Detroit,54.21 $,0.00%,Yes,65052.00 $,8.82 $,18315.03 $
14825 Wilfred,Detroit,52.75 $,10.67%,Yes,63300.00 $,108.92 $,10203.92 $
11078 Wayburn,Detroit,51.83 $,11.88%,Yes,62196.00 $,226.50 $,10464.51 $
15860 Hartwell,Detroit,54.04 $,10.70%,Yes,64848.00 $,54.04 $,541.44 $
11201 College,Detroit,55.71 $,12.04%,Yes,66852.00 $,13.66 $,2777.02 $
19333 Moenart,Detroit,55.25 $,11.33%,Yes,66300.00 $,0.00 $,4894.45 $
8181 Bliss,Detroit,53.96 $,12.50%,Yes,64752.00 $,0.00 $,5759.73 $
12866 Lauder,Detroit,54.25 $,11.43%,Yes,65100.00 $,0.00 $,2859.61 $
15350 Greydale,Detroit,54.42 $,11.58%,Yes,65304.00 $,36.95 $,2485.42 $
14231 Strathmoor,Detroit,52.46 $,15.42%,No,68198.00 $,854.84 $,8721.01 $
15373 Parkside,Detroit,58.82 $,10.75%,No,64702.00 $,30.00 $,3077.96 $
10617 Hathaway,Cleveland,54.02 $,14.82%,Yes,97236.00 $,648.24 $,1889.62 $
19218 Houghton,Detroit,55.91 $,11.87%,No,61501.00 $,311.19 $,5148.99 $
1115 S. Troy,Chicago,53.38 $,10.90%,No,587180.00 $,432.38 $,58452.90 $
9465 Beaconsfield,Detroit,55.92 $,11.86%,No,67104.00 $,0.00 $,1590.51 $
19136 Tracey,Detroit,56.67 $,11.28%,No,68004.00 $,119.01 $,2056.87 $
19020 Rosemont,Detroit,56.50 $,12.22%,No,67800.00 $,0.00 $,1801.79 $
16200 Fullerton,Detroit,185.80 $,12.41%,No,706040.00 $,30881.15 $,136827.96 $
