Txn Hash,timestamp,Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX,volume_bought,volume_sold,token_bought,token_sold
0x6d0bbd5a91c961b6dff71392fbd567a8e78e9459bfc9d9ee9ad5d491ea2cbeb6,1597521747,Sell,2, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.612805961, ETH,0.30640298,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.612805961,2, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xd9d27ae49c3602160486d9d6c000be32e392b084d113324b61d28a9750ae274e,1597565140,Buy,0.11, ETH,0.354380302, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.310401,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.11,0.354380302, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xa961c2843972b5952e0c146eeb80008f588e3571a3938d6d1b43c1b65f93f012,1597574948,Buy,0.39, ETH,1.245342656, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.31316682,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.39,1.245342656, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x6332deaef8c24688060a75abc7c65a4ae82a36b2932e631ce8fd9066658be799,1597591318,Swap,1.585520705, UNI-V1,4.891020723, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.3241697,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,1.585520705,4.891020723, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0x24f9942384a371716e7bb76889b5b42b12b983f454e8fd73e1f490b2770db258,1597612057,Swap,1.017271176, UNI-V1,3, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.33909039,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,1.017271176,3, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0xf4f6fc09cee4e125011d96046ff3d056391bd8fcdcb04370b07a44b1b8a77719,1597620574,Buy,2.307007824, ETH,7, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.32957255,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,2.307007824,7, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x340ced8333d0ca436f16e5921a591920aab63d058376e12b1e6e64c70751f546,1597639642,Buy,0.932358287, ETH,3, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.3107861,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.932358287,3, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x1264952b5eaa6ed3a42c40b081e0ee773731e63c3af1a7b0bf9b333e4ebd6740,1597747398,Buy,0.308752543, ETH,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.30875254,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.308752543,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xf4659a7ab337de626f4a2af03cef9e10f3aba7baf75439641046d5e7e6d2b5b7,1597822973,Swap,1.603526824, UNI-V1,5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.32070536,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,1.603526824,5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0x6736d78bbc46d174893063e69a443f26f5db07bef36304788a799a9c3167204a,1597911757,Buy,1.2, ETH,3.541741562, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.33881636,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,1.2,3.541741562, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
